Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Positive Regulation Of miRNA Transcription (GO:1902895)	3/43	3.989725268674927E-5	0.011216388343578056	0	0	53.38125	540.7095225232104	EGR1;KLF5;EGFR
Positive Regulation Of miRNA Metabolic Process (GO:2000630)	3/49	5.9189384398828786E-5	0.011216388343578056	0	0	46.40450310559006	451.73708811775543	EGR1;KLF5;EGFR
Regulation Of miRNA Transcription (GO:1902893)	3/59	1.0334978312036772E-4	0.013056522600873121	0	0	38.098852040816325	349.6480759390723	EGR1;KLF5;EGFR
Regulation Of Gene Expression (GO:0010468)	8/1127	2.44295366228054E-4	0.02314698595010812	0	0	5.859268757042391	48.73231488332727	PPP2CB;EGR1;MBNL1;SFPQ;FUBP1;HNRNPD;PCGF1;LIMD1
Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902175)	2/18	3.5027247768592E-4	0.026550653808592735	0	0	86.00431034482759	684.3190276353239	SFPQ;P4HB
Myoblast Differentiation (GO:0045445)	2/20	4.3414010265241555E-4	0.02742318315087758	0	0	76.44061302681992	591.8141768431133	TCF7L2;MBNL1
Activation Of Phospholipase C Activity (GO:0007202)	2/27	7.966177692185978E-4	0.043131162076264086	0	0	55.01793103448276	392.5603973248657	LPAR1;EGFR
Positive Regulation Of Phospholipase C Activity (GO:0010863)	2/36	0.0014174693130427694	0.0671526087054012	0	0	40.436105476673426	265.2156512854863	LPAR1;EGFR
Positive Regulation Of Cellular Biosynthetic Process (GO:0031328)	3/174	0.002432204621587442	0.07953021333506916	0	0	12.404761904761905	74.6637307483837	TCF7L2;EGR1;HNRNPD
Positive Regulation Of DNA-templated Transcription (GO:0045893)	7/1243	0.002476388014832337	0.07953021333506916	0	0	4.420543419633225	26.52747871564137	TCF7L2;EGR1;SFPQ;KLF5;HNRNPD;NR2E3;EGFR
Neurogenesis (GO:0022008)	2/49	0.002613000983112837	0.07953021333506916	0	0	29.23257520176082	173.85360581456808	LPAR1;EGFR
RNA Processing (GO:0006396)	3/183	0.0028053962125386567	0.07953021333506916	0	0	11.779166666666667	69.21686282130389	MBNL1;SFPQ;HNRNPD
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	6/938	0.00281507712985561	0.07953021333506916	0	0	4.902231759656653	28.789658130424268	TCF7L2;EGR1;SFPQ;KLF5;NR2E3;EGFR
Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway (GO:0007193)	2/52	0.002937791521612053	0.07953021333506916	0	0	27.474482758620688	160.1789039869191	CORT;LPAR1
Positive Regulation Of Protein Binding (GO:0032092)	2/59	0.00376531025589527	0.0922978249861948	0	0	24.091954022988507	134.47948084141416	PPP2CB;TCF7L2
Regulation Of Canonical Wnt Signaling Pathway (GO:0060828)	3/207	0.003967367304621529	0.0922978249861948	0	0	10.380777310924369	57.40209174611801	TCF7L2;LIMD1;EGFR
Regulation Of Nucleic Acid-Templated Transcription (GO:1903506)	4/452	0.004995751416123217	0.0922978249861948	0	0	6.455357142857143	34.208018414290066	SFPQ;HNRNPD;PCGF1;LIMD1
