Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Multivesicular Body, Internal Vesicle (GO:0097487)	1/5	0.007726694289035996	0.09809078713813721	0	0	166.375	809.0939625056958	EGFR
Intracellular Vesicle (GO:0097708)	1/11	0.016922534733464	0.09809078713813721	0	0	66.53	271.3831303578043	EGFR
Early Phagosome (GO:0032009)	1/11	0.016922534733464	0.09809078713813721	0	0	66.53	271.3831303578043	PLA2G5
beta-catenin-TCF Complex (GO:1990907)	1/12	0.018447136470887412	0.09809078713813721	0	0	60.47878787878788	241.48249384895686	TCF7L2
RISC Complex (GO:0016442)	1/13	0.019969450260865367	0.09809078713813721	0	0	55.43611111111111	216.95208467294643	LIMD1
Focal Adhesion (GO:0005925)	3/387	0.021645279496577775	0.09809078713813721	0	0	5.464564732142857	20.945501126084586	P4HB;LIMD1;EGFR
Cell-Substrate Junction (GO:0030055)	3/395	0.022829156798810493	0.09809078713813721	0	0	5.350856413994169	20.224721631050876	P4HB;LIMD1;EGFR
PRC1 Complex (GO:0035102)	1/15	0.023007227131928758	0.09809078713813721	0	0	47.51190476190476	179.21238137059572	PCGF1
Secondary Lysosome (GO:0005767)	1/15	0.023007227131928758	0.09809078713813721	0	0	47.51190476190476	179.21238137059572	PLA2G5
Protein Phosphatase Type 2A Complex (GO:0000159)	1/16	0.024522696784534302	0.09809078713813721	0	0	44.34222222222222	164.42788585185278	PPP2CB
Basolateral Plasma Membrane (GO:0016323)	2/171	0.02873279586360795	0.10448289404948345	0	0	8.079983676800653	28.681648109711837	ABCC1;EGFR
Protein Serine/Threonine Phosphatase Complex (GO:0008287)	1/29	0.04401798665976609	0.1467266221992203	0	0	23.739285714285714	74.14151494993529	PPP2CB
Clathrin-Coated Endocytic Vesicle Membrane (GO:0030669)	1/68	0.1002682623878204	0.2743189933358309	0	0	9.901492537313432	22.772502698810975	EGFR
Cytoplasmic Stress Granule (GO:0010494)	1/76	0.11140417537718053	0.2743189933358309	0	0	8.841777777777779	19.40408125999615	MBNL1
P-body (GO:0000932)	1/83	0.12103858786538906	0.2743189933358309	0	0	8.084146341463414	17.070854284931038	LIMD1
Clathrin-Coated Endocytic Vesicle (GO:0045334)	1/85	0.123772658199863	0.2743189933358309	0	0	7.890873015873016	16.486470413825213	EGFR
Clathrin-Coated Vesicle Membrane (GO:0030665)	1/90	0.13057187592621022	0.2743189933358309	0	0	7.4456928838951315	15.158175594574578	EGFR
Bounding Membrane Of Organelle (GO:0098588)	3/819	0.13223699985258816	0.2743189933358309	0	0	2.5148371848739495	5.087916773889053	GALNT14;MAN1A2;EGFR
Nucleus (GO:0005634)	10/4487	0.13735197694859247	0.2743189933358309	0	0	1.647787102332557	3.271200917307532	TCF7L2;EGR1;MBNL1;SFPQ;FUBP1;HNRNPD;PCGF1;LIMD1;NR2E3;EGFR
Golgi Membrane (GO:0000139)	2/427	0.14128931388630864	0.2743189933358309	0	0	3.1714401622718054	6.206335932376308	GALNT14;MAN1A2
Phagocytic Vesicle (GO:0045335)	1/100	0.14401747150131122	0.2743189933358309	0	0	6.69023569023569	12.964476920040203	PLA2G5
Intracellular Membrane-Bounded Organelle (GO:0043231)	11/5175	0.15434411781117263	0.2806256687475866	0	0	1.5768299767621998	2.9464181959786075	TCF7L2;EGR1;MBNL1;SFPQ;KLF5;FUBP1;HNRNPD;PCGF1;LIMD1;NR2E3;EGFR
Early Endosome Membrane (GO:0031901)	1/116	0.16511287879326791	0.2871528326839442	0	0	5.754782608695653	10.365088149733952	EGFR
Adherens Junction (GO:0005912)	1/150	0.20828324424333822	0.3471387404055637	0	0	4.434004474272931	6.956316183817003	LIMD1
Endocytic Vesicle Membrane (GO:0030666)	1/159	0.2193440901375634	0.35095054422010147	0	0	4.179535864978903	6.340830678820871	EGFR
Membrane Raft (GO:0045121)	1/169	0.2314585348503267	0.35609005361588725	0	0	3.9287698412698413	5.74918317054335	EGFR
Endocytic Vesicle (GO:0030139)	1/196	0.26326580191391463	0.3900234102428365	0	0	3.3801709401709403	4.511146065081219	LPAR1
Vesicle (GO:0031982)	1/235	0.30697059883451905	0.4385294269064558	0	0	2.811253561253561	3.3200997477356617	EGFR
Endoplasmic Reticulum Lumen (GO:0005788)	1/284	0.35833550518483237	0.481522416148733	0	0	2.3187279151943465	2.3796769911372126	P4HB
Cell-Cell Junction (GO:0005911)	1/299	0.3733088998141916	0.481522416148733	0	0	2.2003355704697984	2.168098569388509	LIMD1
Early Endosome (GO:0005769)	1/307	0.3811558711101732	0.481522416148733	0	0	2.1419389978213506	2.0660005710579727	EGFR
Intracellular Organelle Lumen (GO:0070013)	2/856	0.38521793291898637	0.481522416148733	0	0	1.5436485504320439	1.4725574300420845	P4HB;EGFR
