Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DNA Binding (GO:0003677)	6/846	0.0016721593898015397	0.05649849450331534	0	0	5.465428571428571	34.9439796709769	TCF7L2;EGR1;SFPQ;FUBP1;NR2E3;EGFR
Promoter-Specific Chromatin Binding (GO:1990841)	2/42	0.0019260361255937677	0.05649849450331534	0	0	34.360344827586204	214.83088190316522	EGR1;PCGF1
Sequence-Specific DNA Binding (GO:0043565)	5/717	0.004575597474341855	0.05649849450331534	0	0	5.2012208297320655	28.019070196877486	TCF7L2;EGR1;KLF5;HNRNPD;NR2E3
Transcription Regulatory Region Nucleic Acid Binding (GO:0001067)	3/224	0.0049444071786203855	0.05649849450331534	0	0	9.574014221073044	50.833211312650526	TCF7L2;EGR1;SFPQ
Oligosaccharyl Transferase Activity (GO:0004576)	1/5	0.007726694289035996	0.05649849450331534	0	0	166.375	809.0939625056958	RPN2
Double-Stranded Methylated DNA Binding (GO:0010385)	1/5	0.007726694289035996	0.05649849450331534	0	0	166.375	809.0939625056958	EGR1
Oxidoreductase Activity, Acting On A Sulfur Group Of Donors, Oxygen As Acceptor (GO:0016670)	1/6	0.009265092249714469	0.05649849450331534	0	0	133.09333333333333	623.0766346487915	P4HB
Mannosyl-Oligosaccharide 1,2-Alpha-Mannosidase Activity (GO:0004571)	1/6	0.009265092249714469	0.05649849450331534	0	0	133.09333333333333	623.0766346487915	MAN1A2
Mannosyl-Oligosaccharide Mannosidase Activity (GO:0015924)	1/6	0.009265092249714469	0.05649849450331534	0	0	133.09333333333333	623.0766346487915	MAN1A2
Procollagen-Proline Dioxygenase Activity (GO:0019798)	1/7	0.010801182772692638	0.05649849450331534	0	0	110.90555555555555	502.1914056148727	P4HB
Peptidyl-Proline 4-Dioxygenase Activity (GO:0031545)	1/7	0.010801182772692638	0.05649849450331534	0	0	110.90555555555555	502.1914056148727	P4HB
Armadillo Repeat Domain Binding (GO:0070016)	1/7	0.010801182772692638	0.05649849450331534	0	0	110.90555555555555	502.1914056148727	TCF7L2
Calcium-Independent Phospholipase A2 Activity (GO:0047499)	1/7	0.010801182772692638	0.05649849450331534	0	0	110.90555555555555	502.1914056148727	PLA2G5
Bioactive Lipid Receptor Activity (GO:0045125)	1/9	0.013866454289070039	0.06735134940405448	0	0	83.17083333333333	355.82833874131705	LPAR1
ABC-type Xenobiotic Transporter Activity (GO:0008559)	1/10	0.015395641764484845	0.06958984760789952	0	0	73.92592592592592	308.5424792813036	ABCC1
DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228)	3/348	0.016374081790094003	0.06958984760789952	0	0	6.094409937888199	25.060552348754694	EGR1;KLF5;NR2E3
RNA Binding (GO:0003723)	6/1411	0.019547864393323115	0.07819145757329246	0	0	3.1710747330960856	12.477827836065611	MBNL1;SFPQ;FUBP1;HNRNPD;P4HB;ANKHD1
Sequence-Specific Double-Stranded DNA Binding (GO:1990837)	4/715	0.023690532000638715	0.08776544112359645	0	0	4.012710319320727	15.018289872643269	TCF7L2;EGR1;SFPQ;KLF5
Calcium-Dependent Phospholipase A2 Activity (GO:0047498)	1/16	0.024522696784534302	0.08776544112359645	0	0	44.34222222222222	164.42788585185278	PLA2G5
Histone Acetyltransferase Binding (GO:0035035)	1/17	0.026035891626597026	0.08852203153042988	0	0	41.56875	151.65440789573447	EGR1
Transcription Cis-Regulatory Region Binding (GO:0000976)	3/474	0.036399821711000716	0.11693877080210593	0	0	4.435395814376706	14.6953152784377	TCF7L2;EGR1;SFPQ
Neuropeptide Activity (GO:0160041)	1/26	0.03955281953600642	0.11693877080210593	0	0	26.592	85.8953057509563	CORT
Neuropeptide Hormone Activity (GO:0005184)	1/26	0.03955281953600642	0.11693877080210593	0	0	26.592	85.8953057509563	CORT
Protein Tyrosine Kinase Activator Activity (GO:0030296)	1/29	0.04401798665976609	0.12471762886933727	0	0	23.739285714285714	74.14151494993529	EGFR
Phospholipase A2 Activity (GO:0004623)	1/31	0.04698359743176254	0.1277953850143941	0	0	22.154444444444444	67.74733246608147	PLA2G5
Telomeric DNA Binding (GO:0042162)	1/33	0.04994030455802936	0.13061310422869216	0	0	20.767708333333335	62.2393036656038	HNRNPD
Transmembrane Receptor Protein Kinase Activity (GO:0019199)	1/37	0.05582711106215124	0.13777564850184806	0	0	18.456481481481482	53.25609732919314	EGFR
