Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Various types of N-glycan biosynthesis	2/39	0.001662398983033374	0.06458232164594786	0	0	37.15191053122088	237.7534117911538	RPN2;MAN1A2
Hippo signaling pathway	3/163	0.0020202124331984415	0.06458232164594786	0	0	13.264955357142858	82.3031133581374	PPP2CB;TCF7L2;LIMD1
Protein processing in endoplasmic reticulum	3/171	0.002315098002271531	0.06458232164594786	0	0	12.628188775510203	76.63167909848023	RPN2;MAN1A2;P4HB
N-Glycan biosynthesis	2/50	0.0027192556482504363	0.06458232164594786	0	0	28.62212643678161	169.08226656127547	RPN2;MAN1A2
Endometrial cancer	2/58	0.003641175466029308	0.06918233385455685	0	0	24.523399014778324	137.7098895888601	TCF7L2;EGFR
Adherens junction	2/71	0.0054058487402184816	0.0855926050534593	0	0	19.89005497251374	103.83153308233095	TCF7L2;EGFR
Colorectal cancer	2/86	0.007837281084236711	0.09384896015227837	0	0	16.325944170771756	79.16227161319938	TCF7L2;EGFR
Gap junction	2/88	0.008192491185328108	0.09384896015227837	0	0	15.94466720128308	76.60674756060867	LPAR1;EGFR
GnRH signaling pathway	2/93	0.009111722662175992	0.09384896015227837	0	0	15.064797271693823	70.77733246775645	EGR1;EGFR
Prostate cancer	2/97	0.009878837910766144	0.09384896015227837	0	0	14.427586206896551	66.61736514007372	TCF7L2;EGFR
Parathyroid hormone synthesis, secretion and action	2/106	0.01170603512032248	0.09773688985534311	0	0	13.173076923076923	58.589245429320336	EGR1;EGFR
HIF-1 signaling pathway	2/109	0.012345712402780182	0.09773688985534311	0	0	12.801804705124074	56.256845240677414	TF;EGFR
Human papillomavirus infection	3/331	0.014334299309404755	0.09897609143043345	0	0	6.4158318815331015	27.23584830876282	PPP2CB;TCF7L2;EGFR
Sphingolipid signaling pathway	2/119	0.014585950316063878	0.09897609143043345	0	0	11.701738874152667	49.47140072441286	PPP2CB;ABCC1
PI3K-Akt signaling pathway	3/354	0.01713121608573447	0.1084977018763183	0	0	5.988400488400488	24.353944357239143	PPP2CB;LPAR1;EGFR
