Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725	3/61	1.1417660658311089E-4	0.02945756449844261	0	0	36.7814039408867	333.89290926317574	PPP2CB;EGR1;TF
Signaling By NTRK1 (TRKA) R-HSA-187037	3/114	7.216558711270198E-4	0.06147705729874476	0	0	19.167953667953668	138.66025162374672	PPP2CB;EGR1;TF
Signaling By Receptor Tyrosine Kinases R-HSA-9006934	5/496	9.165091324241873E-4	0.06147705729874476	0	0	7.6288579038069875	53.36339206283895	PPP2CB;EGR1;TF;RANBP10;EGFR
Signaling By NTRKs R-HSA-166520	3/132	0.0011034077833502452	0.06147705729874476	0	0	16.47840531561462	112.20726059726917	PPP2CB;EGR1;TF
Signaling By WNT In Cancer R-HSA-4791275	2/33	0.0011914158391229605	0.06147705729874476	0	0	44.3559510567297	298.6314482014049	PPP2CB;TCF7L2
NGF-stimulated Transcription R-HSA-9031628	2/39	0.001662398983033374	0.07148315627043508	0	0	37.15191053122088	237.7534117911538	EGR1;TF
Degradation Of Beta-Catenin By Destruction Complex R-HSA-195253	2/84	0.007489271172556954	0.11011901704363988	0	0	16.725820016820858	81.86090983166231	PPP2CB;TCF7L2
N-glycan Trimming And Elongation In cis-Golgi R-HSA-964739	1/5	0.007726694289035996	0.11011901704363988	0	0	166.375	809.0939625056958	MAN1A2
PIP3 Activates AKT Signaling R-HSA-1257604	3/268	0.008106287828131591	0.11011901704363988	0	0	7.966576819407008	38.35998548061617	PPP2CB;EGR1;EGFR
PTK6 Promotes HIF1A Stabilization R-HSA-8857538	1/6	0.009265092249714469	0.11011901704363988	0	0	133.09333333333333	623.0766346487915	EGFR
LDL Remodeling R-HSA-8964041	1/6	0.009265092249714469	0.11011901704363988	0	0	133.09333333333333	623.0766346487915	P4HB
Signal Transduction R-HSA-162582	9/2465	0.01031949284279044	0.11011901704363988	0	0	2.917104678708913	13.342021945952228	PPP2CB;TCF7L2;EGR1;CORT;TF;LPAR1;RANBP10;P4HB;EGFR
PP2A-mediated Dephosphorylation Of Key Metabolic Factors R-HSA-163767	1/7	0.010801182772692638	0.11011901704363988	0	0	110.90555555555555	502.1914056148727	PPP2CB
Cargo Recognition For Clathrin-Mediated Endocytosis R-HSA-8856825	2/104	0.011288023602032479	0.11011901704363988	0	0	13.432724814063556	60.232512336226115	TF;EGFR
Intracellular Signaling By Second Messengers R-HSA-9006925	3/306	0.01161494410644056	0.11011901704363988	0	0	6.954031117397454	30.983426431769225	PPP2CB;EGR1;EGFR
PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558	2/106	0.01170603512032248	0.11011901704363988	0	0	13.173076923076923	58.589245429320336	PPP2CB;EGFR
Post-translational Protein Phosphorylation R-HSA-8957275	2/106	0.01170603512032248	0.11011901704363988	0	0	13.173076923076923	58.589245429320336	TF;P4HB
G Alpha (I) Signaling Events R-HSA-418594	3/312	0.012237420133521328	0.11011901704363988	0	0	6.8169209431345354	30.016653481006184	PPP2CB;CORT;LPAR1
Binding Of TCF/LEF:CTNNB1 To Target Gene Promoters R-HSA-4411364	1/8	0.012334969042911155	0.11011901704363988	0	0	95.05714285714286	417.8062796500496	TCF7L2
Transport Of RCbl Within Body R-HSA-9758890	1/8	0.012334969042911155	0.11011901704363988	0	0	95.05714285714286	417.8062796500496	ABCC1
Ubiquinol Biosynthesis R-HSA-2142789	1/8	0.012334969042911155	0.11011901704363988	0	0	95.05714285714286	417.8062796500496	COQ9
Inhibition Of Signaling By Overexpressed EGFR R-HSA-5638303	1/8	0.012334969042911155	0.11011901704363988	0	0	95.05714285714286	417.8062796500496	EGFR
RUNX3 Regulates WNT Signaling R-HSA-8951430	1/8	0.012334969042911155	0.11011901704363988	0	0	95.05714285714286	417.8062796500496	TCF7L2
EGFR Transactivation By Gastrin R-HSA-2179392	1/8	0.012334969042911155	0.11011901704363988	0	0	95.05714285714286	417.8062796500496	EGFR
Negative Regulation Of PI3K/AKT Network R-HSA-199418	2/113	0.01322202189727877	0.11011901704363988	0	0	12.337993165579373	53.37257317425967	PPP2CB;EGFR
Interleukin-23 Signaling R-HSA-9020933	1/9	0.013866454289070039	0.11011901704363988	0	0	83.17083333333333	355.82833874131705	P4HB
Chylomicron Assembly R-HSA-8963888	1/9	0.013866454289070039	0.11011901704363988	0	0	83.17083333333333	355.82833874131705	P4HB
MET Activates RAS Signaling R-HSA-8851805	1/9	0.013866454289070039	0.11011901704363988	0	0	83.17083333333333	355.82833874131705	RANBP10
