Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Spinal Cord Injury WP2431	3/119	8.174676820608766E-4	0.0916855803222554	0	0	18.33713054187192	130.36414728297743	EGR1;PLA2G5;EGFR
TROP2 Regulatory Signaling WP5300	2/45	0.002208213087720262	0.0916855803222554	0	0	31.958299919807537	195.44327291118304	ABCC1;EGFR
N Glycan Biosynthesis WP5153	2/57	0.003519003283445158	0.0916855803222554	0	0	24.9705329153605	141.07296061152428	RPN2;MAN1A2
Circadian Rhythm Genes WP3594	3/201	0.0036535057488838963	0.0916855803222554	0	0	10.698593073593074	60.041232830510864	EGR1;SFPQ;HNRNPD
Endometrial Cancer WP4155	2/63	0.004281356167811724	0.0916855803222554	0	0	22.507631430186546	122.74504069720068	TCF7L2;EGFR
IL 24 Signaling Pathway WP5413	3/232	0.005450207611709374	0.0916855803222554	0	0	9.235807860262009	48.13796871464203	PPP2CB;ABCC1;EGFR
Regulatory Circuits Of The STAT3 Signaling Pathway WP4538	2/78	0.006488895136942576	0.0916855803222554	0	0	18.051724137931036	90.938502840842	IL10RA;EGFR
TCA Cycle Nutrient Use And Invasiveness Of Ovarian Cancer WP2868	1/5	0.007726694289035996	0.0916855803222554	0	0	166.375	809.0939625056958	EGFR
Let 7 Inhibition Of ES Cell Reprogramming WP3299	1/6	0.009265092249714469	0.0916855803222554	0	0	133.09333333333333	623.0766346487915	EGR1
Hippo Signaling Regulation Pathways WP4540	2/98	0.010074977542143497	0.0916855803222554	0	0	14.276580459770114	65.6394396936512	TCF7L2;EGFR
Wnt Signaling Pathway And Pluripotency WP399	2/101	0.010673774444413626	0.0916855803222554	0	0	13.841866945315221	62.841598838595445	PPP2CB;TCF7L2
Focal Adhesion PI3K Akt mTOR Signaling Pathway WP3932	3/302	0.011210458447188008	0.0916855803222554	0	0	7.048494983277592	31.65414354071325	PPP2CB;LPAR1;EGFR
Gastrin Signaling Pathway WP4659	2/115	0.01367011188588575	0.0916855803222554	0	0	12.1184009765029	52.018762657439176	EGR1;EGFR
PI3K Akt Signaling Pathway WP4172	3/338	0.01515538912226651	0.0916855803222554	0	0	6.27953091684435	26.307461125219522	PPP2CB;LPAR1;EGFR
mRNA Processing WP411	2/125	0.016008223510813182	0.0916855803222554	0	0	11.127558172133446	46.00858865617668	SFPQ;HNRNPD
Serotonin Transporter Activity WP1455	1/11	0.016922534733464	0.0916855803222554	0	0	66.53	271.3831303578043	PPP2CB
Iron Metabolism In Placenta WP2007	1/11	0.016922534733464	0.0916855803222554	0	0	66.53	271.3831303578043	TF
Adipogenesis WP236	2/131	0.01748771629334441	0.0916855803222554	0	0	10.606789628441593	42.91779222718881	MBNL1;KLF5
Irinotecan Pathway WP229	1/12	0.018447136470887412	0.0916855803222554	0	0	60.47878787878788	241.48249384895686	ABCC1
IL 10 Anti Inflammatory Signaling Pathway WP4495	1/12	0.018447136470887412	0.0916855803222554	0	0	60.47878787878788	241.48249384895686	IL10RA
Transcriptional Cascade Regulating Adipogenesis WP4211	1/13	0.019969450260865367	0.0916855803222554	0	0	55.43611111111111	216.95208467294643	KLF5
Dopamine Metabolism WP2436	1/13	0.019969450260865367	0.0916855803222554	0	0	55.43611111111111	216.95208467294643	PPP2CB
Leukotriene Metabolic Pathway WP5171	1/13	0.019969450260865367	0.0916855803222554	0	0	55.43611111111111	216.95208467294643	ABCC1
Riboflavin And CoQ Disorders WP5037	1/14	0.02148947938555657	0.0916855803222554	0	0	51.16923076923077	196.4996601316088	COQ9
ERK Pathway In Huntington 39 S Disease WP3853	1/15	0.023007227131928758	0.0916855803222554	0	0	47.51190476190476	179.21238137059572	EGFR
Pro Survival Signaling Of Neuroprotectin D1 WP5182	1/15	0.023007227131928758	0.0916855803222554	0	0	47.51190476190476	179.21238137059572	PPP2CB
Omega 3 Omega 6 Fatty Acid Synthesis WP4723	1/15	0.023007227131928758	0.0916855803222554	0	0	47.51190476190476	179.21238137059572	PLA2G5
Breast Cancer Pathway WP4262	2/154	0.023669361800099178	0.0916855803222554	0	0	8.991379310344827	33.65989217584881	TCF7L2;EGFR
Sudden Infant Death Syndrome SIDS Susceptibility Pathways WP706	2/157	0.024533258251978718	0.0916855803222554	0	0	8.816017797552837	32.68737489833147	EGR1;TF
Iron Metabolism Disorders WP5172	1/17	0.026035891626597026	0.0916855803222554	0	0	41.56875	151.65440789573447	TF
NOTCH1 Regulation Of Endothelial Cell Calcification WP3413	1/17	0.026035891626597026	0.0916855803222554	0	0	41.56875	151.65440789573447	LPAR1
Involvement Of Secretase In Neurodegenerative Diseases WP5372	1/17	0.026035891626597026	0.0916855803222554	0	0	41.56875	151.65440789573447	PPP2CB
Amplification And Expansion Of Oncogenic Pathways As Metastatic Traits WP3678	1/17	0.026035891626597026	0.0916855803222554	0	0	41.56875	151.65440789573447	TCF7L2
VEGFA VEGFR2 Signaling WP3888	3/430	0.02842083916313322	0.0916855803222554	0	0	4.903479424556708	17.459488837380423	EGR1;PLA2G5;P4HB
Serotonin Receptor 4 6 7 And NR3C Signaling WP734	1/19	0.02905547000861942	0.0916855803222554	0	0	36.946296296296296	130.736261970552	EGR1
Small Ligand GPCRs WP247	1/19	0.02905547000861942	0.0916855803222554	0	0	36.946296296296296	130.736261970552	LPAR1
Extracellular Vesicles In The Crosstalk Of Cardiac Cells WP4300	1/19	0.02905547000861942	0.0916855803222554	0	0	36.946296296296296	130.736261970552	EGFR
Pleural Mesothelioma WP5087	3/437	0.029619658937765882	0.0916855803222554	0	0	4.822662936142199	16.972479583137535	TCF7L2;LIMD1;EGFR
BMP Signaling In Eyelid Development WP3927	1/20	0.030561860107418466	0.0916855803222554	0	0	35.0	122.08008572013848	EGFR
Lipid Metabolism In Senescent Cells WP5149	1/20	0.030561860107418466	0.0916855803222554	0	0	35.0	122.08008572013848	PLA2G5
Ras Signaling WP4223	2/184	0.03287187288722958	0.09621035966994022	0	0	7.497915877226222	25.606416790618653	PLA2G5;EGFR
Eicosanoid Synthesis WP167	1/23	0.03506747333209365	0.0978627162756102	0	0	30.222727272727273	101.26068146954859	PLA2G5
Kynurenine Pathway And Links To Cell Senescence WP5044	1/23	0.03506747333209365	0.0978627162756102	0	0	30.222727272727273	101.26068146954859	KLF5
Relationship Between Inflammation COX 2 And EGFR WP4483	1/25	0.03805995059128532	0.10379986524895995	0	0	27.70138888888889	90.5445579257637	EGFR
Nanoparticle Mediated Activation Of Receptor Signaling WP2643	1/28	0.04253183431893138	0.10457354710870018	0	0	24.619753086419752	77.73693045847051	EGFR
Network Map Of SARS CoV 2 Signaling Pathway WP5115	2/218	0.0447134939229752	0.10457354710870018	0	0	6.306832694763729	19.598356118267553	EGR1;TF
Familial Partial Lipodystrophy WP5102	1/30	0.0455019066193127	0.10457354710870018	0	0	22.919540229885058	70.82140338003367	KLF5
Extracellular Vesicle Mediated Signaling In Recipient Cells WP2870	1/30	0.0455019066193127	0.10457354710870018	0	0	22.919540229885058	70.82140338003367	EGFR
Gastric Cancer Network 2 WP2363	1/31	0.04698359743176254	0.10457354710870018	0	0	22.154444444444444	67.74733246608147	EGFR
Eicosanoid Metabolism Via Cyclooxygenases COX WP4719	1/31	0.04698359743176254	0.10457354710870018	0	0	22.154444444444444	67.74733246608147	PLA2G5
Monoamine Transport WP727	1/32	0.048463062337042354	0.10457354710870018	0	0	21.438709677419354	64.89397456016435	PPP2CB
White Fat Cell Differentiation WP4149	1/32	0.048463062337042354	0.10457354710870018	0	0	21.438709677419354	64.89397456016435	KLF5
Metabolic Pathways Of Fibroblasts WP5312	1/32	0.048463062337042354	0.10457354710870018	0	0	21.438709677419354	64.89397456016435	LPAR1
Fluoropyrimidine Activity WP1601	1/33	0.04994030455802936	0.10457354710870018	0	0	20.767708333333335	62.2393036656038	UPP1
Mammary Gland Development Pathway Pregnancy And Lactation Stage 3 Of 4 WP2817	1/33	0.04994030455802936	0.10457354710870018	0	0	20.767708333333335	62.2393036656038	EGFR
FBXL10 Enhancement Of MAP ERK Signaling In Diffuse Large B Cell Lymphoma WP4553	1/33	0.04994030455802936	0.10457354710870018	0	0	20.767708333333335	62.2393036656038	PCGF1
Type I Collagen Synthesis In The Context Of Osteogenesis Imperfecta WP4786	1/33	0.04994030455802936	0.10457354710870018	0	0	20.767708333333335	62.2393036656038	P4HB
Type 2 Papillary Renal Cell Carcinoma WP4241	1/34	0.051415327328444255	0.10457354710870018	0	0	20.13737373737374	59.76407945997836	SFPQ
Cohesin Complex Cornelia De Lange Syndrome WP5117	1/34	0.051415327328444255	0.10457354710870018	0	0	20.13737373737374	59.76407945997836	PPP2CB
Influence Of Laminopathies On Wnt Signaling WP4844	1/35	0.052888133852117436	0.10577626770423487	0	0	19.544117647058822	57.45142461157597	TCF7L2
Ovarian Infertility WP34	1/37	0.05582711106215124	0.10982382504029752	0	0	18.456481481481482	53.25609732919314	EGR1
Glycogen Synthesis And Degradation WP500	1/40	0.06021903535976484	0.11470292449479016	0	0	17.034188034188034	47.86209557175929	PPP2CB
Bladder Cancer WP2828	1/40	0.06021903535976484	0.11470292449479016	0	0	17.034188034188034	47.86209557175929	EGFR
ATM Signaling In Development And Disease WP3878	1/45	0.06749501152086855	0.12314468330206046	0	0	15.094696969696969	40.69079857995566	RIF1
Aryl Hydrocarbon Receptor Pathway WP2873	1/45	0.06749501152086855	0.12314468330206046	0	0	15.094696969696969	40.69079857995566	EGFR
Aryl Hydrocarbon Receptor Pathway WP2586	1/46	0.06894365075528797	0.12314468330206046	0	0	14.75851851851852	39.471152501452366	EGFR
Mechanoregulation And Pathology Of YAP TAZ Via Hippo And Non Hippo Mechanisms WP4534	1/47	0.07039011205855722	0.12314468330206046	0	0	14.43695652173913	38.311387316676615	LIMD1
Wnt Signaling Pathway WP363	1/47	0.07039011205855722	0.12314468330206046	0	0	14.43695652173913	38.311387316676615	TCF7L2
Exercise Induced Circadian Regulation WP410	1/48	0.07183439859286861	0.12314468330206046	0	0	14.129078014184397	37.20739858844958	PPP2CB
Pluripotent Stem Cell Differentiation Pathway WP2848	1/48	0.07183439859286861	0.12314468330206046	0	0	14.129078014184397	37.20739858844958	TF
Photodynamic Therapy Induced AP 1 Survival Signaling WP3611	1/50	0.07471646000262763	0.12628134084951148	0	0	13.551020408163266	35.15209038871121	EGFR
NRP1 Triggered Signaling Pathways In Pancreatic Cancer WP5144	1/53	0.07902332022213049	0.13170553370355081	0	0	12.767307692307693	32.40358367230175	EGFR
Overlap Between Signal Transduction Pathways Contributing To LMNA Laminopathies WP4879	1/55	0.08188377576047076	0.13278450123319585	0	0	12.29320987654321	30.763197218330607	TCF7L2
DNA IR Double Strand Breaks And Cellular Response Via ATM WP3959	1/55	0.08188377576047076	0.13278450123319585	0	0	12.29320987654321	30.763197218330607	RIF1
Oncostatin M Signaling Pathway WP2374	1/56	0.0833107775481581	0.13329724407705298	0	0	12.069090909090908	29.993831432939842	EGR1
Nuclear Receptors Meta Pathway WP2882	2/314	0.08484335546226354	0.13396319283515296	0	0	4.345048629531388	10.719011631786692	EGR1;EGFR
Pre Implantation Embryo WP3527	1/58	0.08615834477824497	0.1342727451089532	0	0	11.644444444444444	28.547152703267713	EGR1
10Q11 21Q11 23 Copy Number Variation Syndrome WP5352	1/60	0.0889973510131811	0.13604121648375417	0	0	11.248587570621469	27.21200570122755	RIF1
TYROBP Causal Network In Microglia WP3945	1/61	0.09041365153331592	0.13604121648375417	0	0	11.060555555555556	26.582496915567003	IL10RA
Proteasome Degradation WP183	1/62	0.09182782112653406	0.13604121648375417	0	0	10.878688524590164	25.97656722459872	RPN2
TAR Syndrome WP5362	1/62	0.09182782112653406	0.13604121648375417	0	0	10.878688524590164	25.97656722459872	EGFR
3Q29 Copy Number Variation Syndrome WP4906	1/63	0.09323986288089035	0.1364485798256932	0	0	10.702688172043011	25.39298321204175	TF
Ferroptosis WP4313	1/64	0.09464977990360633	0.1368430552823224	0	0	10.532275132275132	24.830594069685887	TF
AGE RAGE Pathway WP2324	1/66	0.09746325210209762	0.13759517943825547	0	0	10.207179487179488	23.765170565615563	EGFR
Physico Chemical Features And Toxicity Associated Pathways WP3680	1/66	0.09746325210209762	0.13759517943825547	0	0	10.207179487179488	23.765170565615563	EGFR
RAC1 PAK1 P38 MMP2 Pathway WP3303	1/68	0.1002682623878204	0.13990920333184242	0	0	9.901492537313432	22.772502698810975	EGFR
Urotensin II Mediated Signaling Pathway WP5158	1/69	0.10166760200422945	0.1402311751782475	0	0	9.755392156862746	22.301280984489107	EGFR
Non Small Cell Lung Cancer WP4255	1/72	0.1058529955609793	0.14169491402278914	0	0	9.341784037558686	20.978881609749415	EGFR
Chromosomal And Microsatellite Instability In Colorectal Cancer WP4216	1/73	0.10724392850313601	0.14169491402278914	0	0	9.211574074074074	20.566214716689423	TCF7L2
Head And Neck Squamous Cell Carcinoma WP4674	1/73	0.10724392850313601	0.14169491402278914	0	0	9.211574074074074	20.566214716689423	EGFR
16P11 2 Proximal Deletion Syndrome WP4949	1/74	0.10863276741747166	0.14169491402278914	0	0	9.084931506849315	20.166569167475306	PPP2CB
Arrhythmogenic Right Ventricular Cardiomyopathy WP2118	1/74	0.10863276741747166	0.14169491402278914	0	0	9.084931506849315	20.166569167475306	TCF7L2
Glioblastoma Signaling Pathways WP2261	1/82	0.11966845858358988	0.1544109143014063	0	0	8.184362139917695	17.37564803201433	EGFR
EGFR Tyrosine Kinase Inhibitor Resistance WP4806	1/84	0.12240665340316831	0.15471582274982876	0	0	7.986345381526104	16.774572169983173	EGFR
Clear Cell Renal Cell Carcinoma Pathways WP4018	1/85	0.123772658199863	0.15471582274982876	0	0	7.890873015873016	16.486470413825213	EGFR
ncRNAs Involved In Wnt Signaling In Hepatocellular Carcinoma WP4336	1/85	0.123772658199863	0.15471582274982876	0	0	7.890873015873016	16.486470413825213	TCF7L2
Androgen Receptor Signaling Pathway WP138	1/87	0.12649849758251608	0.1548961194887952	0	0	7.706589147286822	15.93356455305491	EGFR
Hair Follicle Development Cytodifferentiation Part 3 Of 3 WP2840	1/87	0.12649849758251608	0.1548961194887952	0	0	7.706589147286822	15.93356455305491	EGFR
Pancreatic Adenocarcinoma Pathway WP4263	1/89	0.1292161299361437	0.15662561204381056	0	0	7.530681818181818	15.409799629222077	EGFR
ErbB Signaling Pathway WP673	1/90	0.13057187592621022	0.15668625111145226	0	0	7.4456928838951315	15.158175594574578	EGFR
lncRNA In Canonical Wnt Signaling And Colorectal Cancer WP4258	1/93	0.13462686905744525	0.15995271571181613	0	0	7.201811594202899	14.441420169325145	TCF7L2
