Gene,_SCORE_GRP6_,_SCORE_GRP8_,_SCORE_GRP2_,_SCORE_GRP1_,_SCORE_GRP4_,_SCORE_GRP5_,_SCORE_GRP10_,_SCORE_GRP9_,_SCORE_GRP3_,_SCORE_GRP7_,GRP1|19_GO:0071407|-2.901|cellular response to organic cyclic compound,GRP1|19_GO:0048511|-3.790|rhythmic process,GRP1|19_GO:0007623|-3.424|circadian rhythm,GRP1|27_WP3594|-2.949|Circadian rhythm genes,GRP1|19_GO:0009314|-3.049|response to radiation,GRP1|19_GO:0104004|-2.377|cellular response to environmental stimulus,GRP1|19_GO:0071214|-2.377|cellular response to abiotic stimulus,GRP1|6_R-HSA-9006934|-2.689|Signaling by Receptor Tyrosine Kinases,GRP1|6_R-HSA-9006925|-2.396|Intracellular signaling by second messengers,GRP1|6_R-HSA-1257604|-2.570|PIP3 activates AKT signaling,GRP1|19_GO:2000630|-4.354|positive regulation of miRNA metabolic process,GRP1|19_GO:1902895|-4.588|positive regulation of miRNA transcription,GRP1|19_GO:1902893|-4.207|regulation of miRNA transcription,GRP1|19_GO:2000628|-3.971|regulation of miRNA metabolic process,GRP1|27_WP2431|-3.602|Spinal cord injury,GRP2|19_GO:0061061|-2.718|muscle structure development,GRP2|19_GO:0010817|-2.668|regulation of hormone levels,GRP2|19_GO:0030111|-3.401|regulation of Wnt signaling pathway,GRP2|19_GO:0060828|-3.796|regulation of canonical Wnt signaling pathway,GRP2|19_GO:0030178|-3.109|negative regulation of Wnt signaling pathway,GRP2|19_GO:0090090|-3.361|negative regulation of canonical Wnt signaling pathway,GRP2|19_GO:0070482|-3.406|response to oxygen levels,GRP2|19_GO:0036293|-2.392|response to decreased oxygen levels,GRP2|19_GO:0001666|-2.447|response to hypoxia,GRP2|27_WP3888|-2.018|VEGFA VEGFR2 signaling,GRP3|19_GO:0051052|-2.767|regulation of DNA metabolic process,GRP3|19_GO:0051054|-3.650|positive regulation of DNA metabolic process,GRP3|19_GO:0006282|-2.809|regulation of DNA repair,GRP3|19_GO:0045739|-3.452|positive regulation of DNA repair,GRP4|19_GO:0071396|-2.683|cellular response to lipid,GRP4|19_GO:0010038|-3.382|response to metal ion,GRP4|19_GO:0009895|-2.248|negative regulation of catabolic process,GRP4|6_R-HSA-372790|-2.249|Signaling by GPCR,GRP4|6_R-HSA-388396|-2.420|GPCR downstream signalling,GRP4|27_WP4172|-2.307|PI3K Akt signaling,GRP4|27_WP3932|-2.443|Focal adhesion PI3K Akt mTOR signaling,GRP4|24_hsa04151|-2.228|PI3K-Akt signaling pathway,GRP4|6_R-HSA-418594|-2.384|G alpha (i) signalling events,GRP4|19_GO:0006979|-2.209|response to oxidative stress,GRP5|6_R-HSA-5663202|-2.912|Diseases of signal transduction by growth factor receptors and second messengers,GRP5|24_hsa05165|-2.329|Human papillomavirus infection,GRP5|6_R-HSA-195721|-2.336|Signaling by WNT,GRP5|6_R-HSA-201681|-2.771|TCF dependent signaling in response to WNT,GRP5|24_hsa04390|-3.260|Hippo signaling pathway,GRP6|19_GO:0006338|-3.228|chromatin remodeling,GRP6|19_GO:0040029|-2.584|epigenetic regulation of gene expression,GRP7|19_GO:1901137|-2.514|carbohydrate derivative biosynthetic process,GRP7|19_GO:0043413|-2.843|macromolecule glycosylation,GRP7|19_GO:0006486|-2.843|protein glycosylation,GRP7|19_GO:0070085|-2.755|glycosylation,GRP7|19_GO:0009101|-2.553|glycoprotein biosynthetic process,GRP7|19_GO:0009100|-2.329|glycoprotein metabolic process,GRP7|19_GO:0034976|-2.798|response to endoplasmic reticulum stress,GRP7|24_hsa04141|-3.160|Protein processing in endoplasmic reticulum,GRP8|6_R-HSA-1280215|-2.951|Cytokine Signaling in Immune system,GRP8|6_R-HSA-449147|-2.881|Signaling by Interleukins,GRP8|19_GO:0071345|-3.076|cellular response to cytokine stimulus,GRP8|19_GO:0019221|-2.155|cytokine-mediated signaling pathway,GRP9|19_GO:0032103|-2.580|positive regulation of response to external stimulus,GRP9|19_GO:0031349|-2.007|positive regulation of defense response,GRP9|19_GO:0030100|-2.472|regulation of endocytosis,GRP10|19_GO:0006259|-2.196|DNA metabolic process,GRP10|19_GO:2001233|-2.121|regulation of apoptotic signaling pathway,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_,_SORT_GRP5_,_SORT_GRP6_,_SORT_GRP7_,_SORT_GRP8_,_SORT_GRP9_,_SORT_GRP10_
1958,1.0,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,2,0,3,0,0
8994,0.0,0.0,0.7,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,2,0,0,6,0,0,0,0,0
4363,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,16,0,0,0,7,0,0,0,0,3,0
688,0.0,0.25,0.1,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,21,3,7,0,0,0,0,0,7,0,0
57610,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,9,0,0,0,0,0,0,0,0,0
3587,0.0,1.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,10,0,0,0,6,5,0,0,2,0,0
6185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0,0,0,0,2,0,0,0
55183,1.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,5,0,0,2,0,0,1,0,6,0,4
84759,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0,0,0,0,5,0,0,0,0
79623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,3,0,0,0
