_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-4.588132909989681,GO:1902895,M1,1,0,GO Biological Processes,19,positive regulation of miRNA transcription,19_GO:0048518 positive regulation of biological process,-4.588132909989681,52.42569124423962,12.31926337686869,30337,56,31,3,9.67741935483871,5.310031559697429,688|1956|1958,KLF5|EGFR|EGR1,-0.33987821663792156,0,1,1,1,-4.588132909989681,52.42569124423962,
1,-4.353849814934442,GO:2000630,M1,1,0,GO Biological Processes,19,positive regulation of miRNA metabolic process,19_GO:0048518 positive regulation of biological process,-4.353849814934442,43.818488204140586,11.221688672191654,30337,67,31,3,9.67741935483871,5.310031559697429,688|1956|1958,KLF5|EGFR|EGR1,-0.33987821663792156,0,1,0,0,-4.588132909989681,52.42569124423962,
1,-4.207168886492806,GO:1902893,M1,1,0,GO Biological Processes,19,regulation of miRNA transcription,19_GO:0008152 metabolic process,-4.207168886492806,39.144516129032255,10.578147627166276,30337,75,31,3,9.67741935483871,5.310031559697429,688|1956|1958,KLF5|EGFR|EGR1,-0.33987821663792156,0,1,0,0,-4.588132909989681,52.42569124423962,
1,-3.971173755327936,GO:2000628,M1,1,0,GO Biological Processes,19,regulation of miRNA metabolic process,19_GO:0008152 metabolic process,-3.971173755327936,32.62043010752688,9.608233966229673,30337,90,31,3,9.67741935483871,5.310031559697429,688|1956|1958,KLF5|EGFR|EGR1,-0.22882182208135188,0,1,0,0,-4.588132909989681,52.42569124423962,
1,-3.7903268715281206,GO:0048511,M1,1,0,GO Biological Processes,19,rhythmic process,19_GO:0048511 rhythmic process,-3.7903268715281206,14.444470896321867,7.1102722414687545,30337,271,31,4,12.903225806451612,6.021009840370212,1956|1958|3184|6421,EGFR|EGR1|HNRNPD|SFPQ,-0.22406619733721772,0,1,0,0,-4.588132909989681,52.42569124423962,
1,-3.6016829128142045,WP2431,M1,1,0,WikiPathways,27,Spinal cord injury,,-3.6016829128142045,24.465322580645157,8.237343468393819,30337,120,31,3,9.67741935483871,5.310031559697429,1956|1958|5322,EGFR|EGR1|PLA2G5,-0.1624418134826033,0,1,0,0,-4.588132909989681,52.42569124423962,
1,-3.4235543274156846,GO:0007623,M1,1,0,GO Biological Processes,19,circadian rhythm,19_GO:0048511 rhythmic process,-3.4235543274156846,21.274193548387096,7.634534212471799,30337,138,31,3,9.67741935483871,5.310031559697429,1956|1958|3184,EGFR|EGR1|HNRNPD,-0.1624418134826033,0,1,0,0,-4.588132909989681,52.42569124423962,
1,-3.0489364902015734,GO:0009314,M1,1,0,GO Biological Processes,19,response to radiation,19_GO:0050896 response to stimulus,-3.0489364902015734,9.188853551416024,5.443874851893456,30337,426,31,4,12.903225806451612,6.021009840370212,1956|1958|9577|10002,EGFR|EGR1|BABAM2|NR2E3,-0.005554561291008049,0,1,0,0,-4.588132909989681,52.42569124423962,
1,-2.9494963495513464,WP3594,M1,1,0,WikiPathways,27,Circadian rhythm genes,,-2.9494963495513464,14.606162734713527,6.189942024306833,30337,201,31,3,9.67741935483871,5.310031559697429,1958|3184|6421,EGR1|HNRNPD|SFPQ,0.0,0,1,0,0,-4.588132909989681,52.42569124423962,
1,-2.901429945138591,GO:0071407,M1,1,0,GO Biological Processes,19,cellular response to organic cyclic compound,19_GO:0050896 response to stimulus,-2.901429945138591,8.382123368101126,5.141831292676062,30337,467,31,4,12.903225806451612,6.021009840370212,1956|1958|3184|10002,EGFR|EGR1|HNRNPD|NR2E3,0.0,0,1,0,0,-4.588132909989681,52.42569124423962,
1,-2.688514803540299,R-HSA-9006934,M1,1,0,Reactome Gene Sets,6,Signaling by Receptor Tyrosine Kinases,,-2.688514803540299,7.330433732028513,4.720302152905582,30337,534,31,4,12.903225806451612,6.021009840370212,1956|1958|5516|57610,EGFR|EGR1|PPP2CB|RANBP10,0.0,0,1,0,0,-4.588132909989681,52.42569124423962,
1,-2.5704222589567163,R-HSA-1257604,M1,1,0,Reactome Gene Sets,6,PIP3 activates AKT signaling,,-2.5704222589567163,10.753987947536334,5.177687703537994,30337,273,31,3,9.67741935483871,5.310031559697429,1956|1958|5516,EGFR|EGR1|PPP2CB,0.0,0,1,0,0,-4.588132909989681,52.42569124423962,
1,-2.3958914867836154,R-HSA-9006925,M1,1,0,Reactome Gene Sets,6,Intracellular signaling by second messengers,,-2.3958914867836154,9.320122887864823,4.747455501513358,30337,315,31,3,9.67741935483871,5.310031559697429,1956|1958|5516,EGFR|EGR1|PPP2CB,0.0,0,1,0,0,-4.588132909989681,52.42569124423962,
1,-2.376801812486035,GO:0071214,M1,1,0,GO Biological Processes,19,cellular response to abiotic stimulus,19_GO:0050896 response to stimulus,-2.376801812486035,9.174495967741935,4.7016254199975,30337,320,31,3,9.67741935483871,5.310031559697429,1956|1958|9577,EGFR|EGR1|BABAM2,0.0,0,1,0,0,-4.588132909989681,52.42569124423962,
1,-2.376801812486035,GO:0104004,M1,1,0,GO Biological Processes,19,cellular response to environmental stimulus,19_GO:0050896 response to stimulus,-2.376801812486035,9.174495967741935,4.7016254199975,30337,320,31,3,9.67741935483871,5.310031559697429,1956|1958|9577,EGFR|EGR1|BABAM2,0.0,0,1,0,0,-4.588132909989681,52.42569124423962,
1,-3.7964757948425576,GO:0060828,M1,1,0,GO Biological Processes,19,regulation of canonical Wnt signaling pathway,19_GO:0050896 response to stimulus,-3.7964757948425576,14.497968936678614,7.125263881822178,30337,270,31,4,12.903225806451612,6.021009840370212,1956|1958|6934|8994,EGFR|EGR1|TCF7L2|LIMD1,-0.22406619733721772,0,2,1,1,-3.7964757948425576,20.247163515016684,
1,-3.4060309740927908,GO:0070482,M1,1,0,GO Biological Processes,19,response to oxygen levels,19_GO:0050896 response to stimulus,-3.4060309740927908,11.445764950009432,6.2133320605082485,30337,342,31,4,12.903225806451612,6.021009840370212,1902|1958|5034|8994,LPAR1|EGR1|P4HB|LIMD1,-0.1624418134826033,0,2,0,0,-3.7964757948425576,20.247163515016684,
1,-3.401245558684766,GO:0030111,M1,1,0,GO Biological Processes,19,regulation of Wnt signaling pathway,19_GO:0050896 response to stimulus,-3.401245558684766,11.412395372895702,6.202634811694832,30337,343,31,4,12.903225806451612,6.021009840370212,1956|1958|6934|8994,EGFR|EGR1|TCF7L2|LIMD1,-0.1624418134826033,0,2,0,0,-3.7964757948425576,20.247163515016684,
1,-3.360725702378912,GO:0090090,M1,1,0,GO Biological Processes,19,negative regulation of canonical Wnt signaling pathway,19_GO:0048519 negative regulation of biological process,-3.360725702378912,20.247163515016684,7.430199777596992,30337,145,31,3,9.67741935483871,5.310031559697429,1958|6934|8994,EGR1|TCF7L2|LIMD1,-0.1624418134826033,0,2,0,0,-3.7964757948425576,20.247163515016684,
1,-3.1088612015271835,GO:0030178,M1,1,0,GO Biological Processes,19,negative regulation of Wnt signaling pathway,19_GO:0048519 negative regulation of biological process,-3.1088612015271835,16.58665937670858,6.651501671102677,30337,177,31,3,9.67741935483871,5.310031559697429,1958|6934|8994,EGR1|TCF7L2|LIMD1,-0.01972178205594295,0,2,0,0,-3.7964757948425576,20.247163515016684,
1,-2.718361332989932,GO:0061061,M1,1,0,GO Biological Processes,19,muscle structure development,19_GO:0032502 developmental process,-2.718361332989932,7.470327505540507,4.778424873945939,30337,524,31,4,12.903225806451612,6.021009840370212,688|1958|4154|6934,KLF5|EGR1|MBNL1|TCF7L2,0.0,0,2,0,0,-3.7964757948425576,20.247163515016684,
