_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-3.6,M40025,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL DIFFERENTIATING STEM CELLS,,-3.6,13,6.6,30337,305,31,4,13,6,688|1958|3184|6421,KLF5|EGR1|HNRNPD|SFPQ,-0.46,0
1,-3.6,M40024,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL STEM CELLS,,-3.6,13,6.6,30337,311,31,4,13,6,688|1958|3184|6421,KLF5|EGR1|HNRNPD|SFPQ,-0.46,0
1,-3,M39054,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HRGL2B,,-3,8.9,5.3,30337,440,31,4,13,6,1956|1958|6934|7018,EGFR|EGR1|TCF7L2|TF,-0.27,0
1,-2.9,M40010,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC ISTHMUS CELLS,,-2.9,8.5,5.2,30337,458,31,4,13,6,688|5034|6185|6934,KLF5|P4HB|RPN2|TCF7L2,-0.26,0
1,-2.9,M40238,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL LUNG CSH1 CSH2 POSITIVE CELLS,,-2.9,14,6,30337,212,31,3,9.7,5.3,3184|7378|84759,HNRNPD|UPP1|PCGF1,-0.23,0
1,-2.4,M41707,M1,1,0,Cell Type Signatures,7,FAN OVARY CL5 HEALTHY SELECTABLE FOLLICLE THECAL CELL,,-2.4,9.2,4.7,30337,318,31,3,9.7,5.3,1958|5034|5516,EGR1|P4HB|PPP2CB,0,0
1,-2.2,M39052,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HOPC,,-2.2,8,4.3,30337,366,31,3,9.7,5.3,1956|1958|7018,EGFR|EGR1|TF,0,0
1,-2.2,M39174,M1,1,0,Cell Type Signatures,7,MURARO PANCREAS ACINAR CELL,,-2.2,5.4,3.8,30337,731,31,4,13,6,688|1956|5034|6185,KLF5|EGFR|P4HB|RPN2,0,0
1,-2.2,M41703,M1,1,0,Cell Type Signatures,7,FAN OVARY CL1 GPRC5A TNFRS12A HIGH SELECTABLE FOLLICLE STROMAL CELL,,-2.2,7.7,4.2,30337,380,31,3,9.7,5.3,5516|6421|8880,PPP2CB|SFPQ|FUBP1,0,0
1,-2.2,M39037,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX OLIG,,-2.2,5.2,3.7,30337,754,31,4,13,6,1902|5516|7018|8994,LPAR1|PPP2CB|TF|LIMD1,0,0
1,-2.1,M39209,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW STROMAL,,-2.1,5.1,3.7,30337,765,31,4,13,6,1956|1958|5322|7018,EGFR|EGR1|PLA2G5|TF,0,0
1,-2,M39077,M1,1,0,Cell Type Signatures,7,ZHONG PFC MAJOR TYPES MICROGLIA,,-2,6.7,3.8,30337,438,31,3,9.7,5.3,1958|3587|4154,EGR1|IL10RA|MBNL1,0,0
