Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Transcription Factor Targets,16,M1485,E2F1 Q3,,-5.3,20,9.5,30337,247,31,5,16,6.6,688|1325|3184|54882|404734,KLF5|CORT|HNRNPD|ANKHD1|ANKHD1-EIF4EBP3,-1.2,MyList
DisGeNET,35,C0555198,Malignant Glioma,,-5.2,9.5,7.4,30337,724,31,7,23,7.5,1956|1958|4363|5034|6934|8358|84759,EGFR|EGR1|ABCC1|P4HB|TCF7L2|H3C2|PCGF1,-1.2,MyList
DisGeNET,35,C0236773,Depressed bipolar I disorder,,-5.1,79,15,30337,37,31,3,9.7,5.3,9577|54882|404734,BABAM2|ANKHD1|ANKHD1-EIF4EBP3,-1.2,MyList
Transcription Factor Targets,16,M18044,AAGWWRNYGGC UNKNOWN,,-5.1,32,11,30337,123,31,4,13,6,6421|54882|55183|404734,SFPQ|ANKHD1|RIF1|ANKHD1-EIF4EBP3,-1.2,MyList
DisGeNET,35,C0023440,Acute Erythroblastic Leukemia,,-4.9,16,8.5,30337,302,31,5,16,6.6,1956|1958|4363|5034|7018,EGFR|EGR1|ABCC1|P4HB|TF,-1.1,MyList
DisGeNET,35,C1319315,Adenocarcinoma of large intestine,,-4.8,11,7.4,30337,543,31,6,19,7.1,688|1902|1956|4363|6934|7378,KLF5|LPAR1|EGFR|ABCC1|TCF7L2|UPP1,-1.1,MyList
DisGeNET,35,C0243038,"Carcinoma, Lewis Lung",,-4.4,21,8.7,30337,188,31,4,13,6,1956|4363|6934|9577,EGFR|ABCC1|TCF7L2|BABAM2,-0.77,MyList
Transcription Factor Targets,16,M40729,CUX1 TARGET GENES,,-4.4,9.2,6.7,30337,641,31,6,19,7.1,5034|6185|6934|54882|55183|404734,P4HB|RPN2|TCF7L2|ANKHD1|RIF1|ANKHD1-EIF4EBP3,-0.77,MyList
DisGeNET,35,C1402294,Primary Lesion,,-4.3,41,11,30337,71,31,3,9.7,5.3,1956|4363|6185,EGFR|ABCC1|RPN2,-0.71,MyList
DisGeNET,35,C0008311,Cholangitis,,-4.1,37,10,30337,80,31,3,9.7,5.3,688|1956|1958,KLF5|EGFR|EGR1,-0.68,MyList
Transcription Factor Targets,16,M12497,E2F Q3,,-4.1,17,7.8,30337,228,31,4,13,6,688|3184|54882|404734,KLF5|HNRNPD|ANKHD1|ANKHD1-EIF4EBP3,-0.68,MyList
Transcription Factor Targets,16,M8998,E2F1 Q4 01,,-4.1,17,7.8,30337,229,31,4,13,6,688|3184|54882|404734,KLF5|HNRNPD|ANKHD1|ANKHD1-EIF4EBP3,-0.68,MyList
Transcription Factor Targets,16,M5768,E2F1DP1RB 01,,-4,17,7.7,30337,233,31,4,13,6,1325|3184|54882|404734,CORT|HNRNPD|ANKHD1|ANKHD1-EIF4EBP3,-0.68,MyList
Transcription Factor Targets,16,M17117,E2F Q3 01,,-4,17,7.7,30337,236,31,4,13,6,688|3184|54882|404734,KLF5|HNRNPD|ANKHD1|ANKHD1-EIF4EBP3,-0.68,MyList
Transcription Factor Targets,16,M102,E2F Q4 01,,-4,16,7.7,30337,238,31,4,13,6,688|3184|54882|404734,KLF5|HNRNPD|ANKHD1|ANKHD1-EIF4EBP3,-0.68,MyList
Transcription Factor Targets,16,M15729,E2F Q6 01,,-4,16,7.6,30337,242,31,4,13,6,688|3184|54882|404734,KLF5|HNRNPD|ANKHD1|ANKHD1-EIF4EBP3,-0.68,MyList
Transcription Factor Targets,16,M3037,E2F1 Q6 01,,-4,16,7.6,30337,243,31,4,13,6,688|3184|54882|404734,KLF5|HNRNPD|ANKHD1|ANKHD1-EIF4EBP3,-0.68,MyList
Transcription Factor Targets,16,M4220,E2F 03,,-3.9,16,7.5,30337,249,31,4,13,6,688|3184|54882|404734,KLF5|HNRNPD|ANKHD1|ANKHD1-EIF4EBP3,-0.67,MyList
DisGeNET,35,C0428474,Serum LDL cholesterol measurement,,-3.8,15,7.1,30337,269,31,4,13,6,5322|6934|7018|55183,PLA2G5|TCF7L2|TF|RIF1,-0.56,MyList
TRRUST,34,TRR00011,Regulated by: AR,,-3.7,27,8.8,30337,107,31,3,9.7,5.3,688|1956|6934,KLF5|EGFR|TCF7L2,-0.53,MyList
DisGeNET,35,C0205698,Undifferentiated carcinoma,,-3.7,14,6.9,30337,283,31,4,13,6,1902|1956|1958|7018,LPAR1|EGFR|EGR1|TF,-0.53,MyList
DisGeNET,35,C0860207,Drug-Induced Liver Disease,,-3.7,9.1,6.1,30337,537,31,5,16,6.6,688|4363|5034|7018|57017,KLF5|ABCC1|P4HB|TF|COQ9,-0.53,MyList
DisGeNET,35,C3839280,High grade serous carcinoma,,-3.6,25,8.3,30337,118,31,3,9.7,5.3,1902|1956|79623,LPAR1|EGFR|GALNT14,-0.47,MyList
Cell Type Signatures,7,M40025,BUSSLINGER DUODENAL DIFFERENTIATING STEM CELLS,,-3.6,13,6.6,30337,305,31,4,13,6,688|1958|3184|6421,KLF5|EGR1|HNRNPD|SFPQ,-0.46,MyList
DisGeNET,35,C0750974,"Brain Tumor, Primary",,-3.6,24,8.2,30337,122,31,3,9.7,5.3,1956|3587|8880,EGFR|IL10RA|FUBP1,-0.46,MyList
Cell Type Signatures,7,M40024,BUSSLINGER DUODENAL STEM CELLS,,-3.6,13,6.6,30337,311,31,4,13,6,688|1958|3184|6421,KLF5|EGR1|HNRNPD|SFPQ,-0.46,MyList
DisGeNET,35,C0036337,Schizoaffective Disorder,,-3.5,23,8,30337,126,31,3,9.7,5.3,6185|6934|7018,RPN2|TCF7L2|TF,-0.45,MyList
Transcription Factor Targets,16,M19642,CDPCR1 01,,-3.5,23,7.9,30337,129,31,3,9.7,5.3,1958|4154|6934,EGR1|MBNL1|TCF7L2,-0.44,MyList
DisGeNET,35,C1969372,Tubulointerstitial fibrosis,,-3.5,12,6.4,30337,327,31,4,13,6,688|1956|1958|3184,KLF5|EGFR|EGR1|HNRNPD,-0.42,MyList
TRRUST,34,TRR01158,Regulated by: RELA,,-3.4,12,6.3,30337,334,31,4,13,6,1956|1958|7018|7378,EGFR|EGR1|TF|UPP1,-0.42,MyList
DisGeNET,35,C0153392,Malignant neoplasm of nasopharynx,,-3.4,22,7.7,30337,136,31,3,9.7,5.3,1956|1958|4363,EGFR|EGR1|ABCC1,-0.42,MyList
TRRUST,34,TRR00875,Regulated by: NFKB1,,-3.4,12,6.2,30337,340,31,4,13,6,1956|1958|7018|7378,EGFR|EGR1|TF|UPP1,-0.41,MyList
DisGeNET,35,C0008487,Chordoma,,-3.4,21,7.6,30337,140,31,3,9.7,5.3,1956|4363|8880,EGFR|ABCC1|FUBP1,-0.41,MyList
DisGeNET,35,C0238301,Cancer of Nasopharynx,,-3.4,20,7.4,30337,145,31,3,9.7,5.3,1956|1958|4363,EGFR|EGR1|ABCC1,-0.37,MyList
Transcription Factor Targets,16,M17318,CGTSACG PAX3 B,,-3.3,20,7.3,30337,149,31,3,9.7,5.3,1958|54882|404734,EGR1|ANKHD1|ANKHD1-EIF4EBP3,-0.35,MyList
DisGeNET,35,C0279070,Adult Oligodendroglioma,,-3.3,19,7.2,30337,154,31,3,9.7,5.3,1956|8358|8880,EGFR|H3C2|FUBP1,-0.33,MyList
DisGeNET,35,C0280475,Childhood Oligodendroglioma,,-3.3,19,7.2,30337,154,31,3,9.7,5.3,1956|8358|8880,EGFR|H3C2|FUBP1,-0.33,MyList
DisGeNET,35,C0220615,Adult Acute Myeloblastic Leukemia,,-3.2,18,7,30337,160,31,3,9.7,5.3,1956|4363|9577,EGFR|ABCC1|BABAM2,-0.32,MyList
DisGeNET,35,C0021655,Insulin Resistance,,-3.2,18,7,30337,162,31,3,9.7,5.3,1956|6934|7018,EGFR|TCF7L2|TF,-0.32,MyList
DisGeNET,35,C2677123,"COLORECTAL CANCER, SUSCEPTIBILITY TO, 3",,-3.2,18,6.9,30337,165,31,3,9.7,5.3,688|1902|6934,KLF5|LPAR1|TCF7L2,-0.32,MyList
