Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"1"	"MYSM1"	"48.0"	"ARCHS4 Coexpression,30;Enrichr Queries,106;GTEx Coexpression,8"	"TCF7L2,EGR1,SFPQ,MBNL1,RIF1,MAN1A2,FUBP1,HNRNPD,ANKHD1"
"gene_set_query"	"2"	"DMTF1"	"48.67"	"ARCHS4 Coexpression,2;Enrichr Queries,89;GTEx Coexpression,55"	"TCF7L2,EGR1,SFPQ,MBNL1,RIF1,FUBP1,LPAR1,P4HB"
"gene_set_query"	"3"	"SPEN"	"57.0"	"ARCHS4 Coexpression,95;GTEx Coexpression,19"	"SFPQ,RIF1,FUBP1,ANKHD1"
"gene_set_query"	"4"	"CREBZF"	"63.33"	"ARCHS4 Coexpression,156;Enrichr Queries,27;GTEx Coexpression,7"	"TCF7L2,EGR1,SFPQ,MBNL1,FUBP1,HNRNPD,ANKHD1"
"gene_set_query"	"5"	"ZNF655"	"64.0"	"ARCHS4 Coexpression,118;Enrichr Queries,70;GTEx Coexpression,4"	"TCF7L2,EGR1,SFPQ,MBNL1,FUBP1,IL10RA,HNRNPD,UPP1,ANKHD1,EGFR"
"gene_set_query"	"6"	"ZFP62"	"68.67"	"ARCHS4 Coexpression,74;Enrichr Queries,109;GTEx Coexpression,23"	"TCF7L2,EGR1,MBNL1,SFPQ,RIF1,FUBP1,HNRNPD,ANKHD1"
"gene_set_query"	"7"	"MGA"	"74.0"	"ARCHS4 Coexpression,76;Enrichr Queries,100;GTEx Coexpression,46"	"TCF7L2,EGR1,SFPQ,MBNL1,RIF1,FUBP1,ANKHD1"
"gene_set_query"	"8"	"NR3C1"	"74.83"	"Literature ChIP-seq,85;ARCHS4 Coexpression,42;ENCODE ChIP-seq,33;Enrichr Queries,54;ReMap ChIP-seq,223;GTEx Coexpression,12"	"TCF7L2,EGR1,MBNL1,RIF1,IL10RA,LPAR1,LIMD1,NR2E3,EGFR,TF,HNRNPD,P4HB,UPP1,HIST1H3B"
"gene_set_query"	"9"	"ZBED6"	"75.0"	"ARCHS4 Coexpression,75"	"MBNL1,LIMD1"
"gene_set_query"	"10"	"KLF3"	"91.0"	"ARCHS4 Coexpression,24;Enrichr Queries,125;ReMap ChIP-seq,93;GTEx Coexpression,122"	"TCF7L2,EGR1,MBNL1,KLF5,IL10RA,HNRNPD,HIST1H3B,EGFR"
"gene_set_query"	"11"	"ZNF24"	"92.5"	"ARCHS4 Coexpression,31;Enrichr Queries,119;ReMap ChIP-seq,182;GTEx Coexpression,38"	"PPP2CB,TCF7L2,EGR1,MBNL1,SFPQ,RPN2,RIF1,FUBP1,LPAR1,HIST1H3B"
"gene_set_query"	"12"	"ZNF451"	"93.33"	"ARCHS4 Coexpression,8;Enrichr Queries,10;GTEx Coexpression,262"	"TCF7L2,EGR1,SFPQ,MBNL1,RIF1,MAN1A2,FUBP1,P4HB,HIST1H3B"
"gene_set_query"	"13"	"GPBP1L1"	"93.5"	"ARCHS4 Coexpression,54;GTEx Coexpression,133"	"MBNL1,SFPQ,KLF5,ANKHD1"
"gene_set_query"	"14"	"RORA"	"94.0"	"ARCHS4 Coexpression,89;Enrichr Queries,84;GTEx Coexpression,109"	"TCF7L2,EGR1,MBNL1,KLF5,IL10RA,LPAR1,EGFR"
"gene_set_query"	"15"	"E2F5"	"104.0"	"ARCHS4 Coexpression,111;Enrichr Queries,191;ReMap ChIP-seq,32;GTEx Coexpression,82"	"CORT,TCF7L2,EGR1,FUBP1,HNRNPD,RANBP10,LPAR1,P4HB,HIST1H3B,EGFR"
"gene_set_query"	"16"	"NCOA1"	"109.5"	"ARCHS4 Coexpression,143;Enrichr Queries,132;ReMap ChIP-seq,96;GTEx Coexpression,67"	"TCF7L2,EGR1,MBNL1,RPN2,MAN1A2,LPAR1,PCGF1,P4HB,HIST1H3B,EGFR"
"gene_set_query"	"17"	"ZNF736"	"110.5"	"ARCHS4 Coexpression,219;GTEx Coexpression,2"	"SFPQ,MBNL1,FUBP1,HNRNPD,LIMD1,ANKHD1"
"gene_set_query"	"18"	"ZNF644"	"111.0"	"ARCHS4 Coexpression,15;Enrichr Queries,3;ReMap ChIP-seq,249;GTEx Coexpression,177"	"TCF7L2,EGR1,MBNL1,SFPQ,RIF1,MAN1A2,IL10RA,FUBP1,P4HB"
"gene_set_query"	"19"	"ELK4"	"117.4"	"ARCHS4 Coexpression,23;ENCODE ChIP-seq,14;Enrichr Queries,372;ReMap ChIP-seq,38;GTEx Coexpression,140"	"EGR1,TCF7L2,MBNL1,RPN2,ANKHD1-EIF4EBP3,COQ9,LIMD1,ANKHD1,SFPQ,MAN1A2,HNRNPD,PCGF1,P4HB,HIST1H3B"
"gene_set_query"	"20"	"BPTF"	"121.5"	"ARCHS4 Coexpression,186;GTEx Coexpression,57"	"SFPQ,RIF1"
"gene_set_query"	"21"	"TCF7L1"	"122.3"	"ARCHS4 Coexpression,53;Enrichr Queries,284;GTEx Coexpression,30"	"TCF7L2,EGR1,MBNL1,LPAR1,HNRNPD,EGFR"
"gene_set_query"	"22"	"ZNF207"	"122.5"	"ARCHS4 Coexpression,35;Enrichr Queries,435;ReMap ChIP-seq,17;GTEx Coexpression,3"	"EGR1,SFPQ,MBNL1,RIF1,FUBP1,IL10RA,HNRNPD,PCGF1,P4HB,HIST1H3B,ANKHD1"
"gene_set_query"	"23"	"ZBTB38"	"126.7"	"ARCHS4 Coexpression,130;Enrichr Queries,83;GTEx Coexpression,167"	"TCF7L2,EGR1,MBNL1,LPAR1,LIMD1,EGFR"
"gene_set_query"	"24"	"MTF1"	"131.5"	"ARCHS4 Coexpression,174;GTEx Coexpression,89"	"GALNT14,IL10RA,UPP1"
"gene_set_query"	"25"	"YY1"	"134.5"	"Literature ChIP-seq,38;ARCHS4 Coexpression,223;ENCODE ChIP-seq,49;Enrichr Queries,26;ReMap ChIP-seq,166;GTEx Coexpression,305"	"TCF7L2,EGR1,ABCC1,MBNL1,COQ9,PPP2CB,SFPQ,FUBP1,HNRNPD,RANBP10,PCGF1,P4HB,HIST1H3B"
"gene_set_query"	"26"	"L3MBTL3"	"135.0"	"ARCHS4 Coexpression,60;GTEx Coexpression,210"	"RIF1,IL10RA,P4HB"
"gene_set_query"	"27"	"ZNF280B"	"142.0"	"ARCHS4 Coexpression,260;Enrichr Queries,24"	"TCF7L2,EGR1,MBNL1,LPAR1,UPP1,P4HB,EGFR"
"gene_set_query"	"28"	"GATA4"	"143.2"	"Literature ChIP-seq,88;ARCHS4 Coexpression,248;Enrichr Queries,46;ReMap ChIP-seq,56;GTEx Coexpression,278"	"TCF7L2,EGR1,TF,MBNL1,KLF5,LPAR1,RANBP10,PCGF1,PLA2G5,P4HB,HIST1H3B,EGFR"
"gene_set_query"	"29"	"FOXC1"	"146.0"	"ARCHS4 Coexpression,176;Enrichr Queries,102;GTEx Coexpression,160"	"TCF7L2,EGR1,MBNL1,SFPQ,KLF5,LPAR1,EGFR"
"gene_set_query"	"30"	"POU2F1"	"148.0"	"ARCHS4 Coexpression,5;Enrichr Queries,131;ReMap ChIP-seq,55;GTEx Coexpression,401"	"TCF7L2,EGR1,SFPQ,MBNL1,RIF1,MAN1A2,FUBP1,RANBP10,P4HB,HIST1H3B,EGFR"
"gene_set_query"	"31"	"MTF2"	"152.7"	"Literature ChIP-seq,89;ARCHS4 Coexpression,300;GTEx Coexpression,69"	"EGR1,SFPQ,GALNT14,MBNL1,FUBP1,LPAR1,PCGF1,P4HB,EGFR"
"gene_set_query"	"32"	"SMAD1"	"154.2"	"Literature ChIP-seq,34;ARCHS4 Coexpression,395;Enrichr Queries,73;ReMap ChIP-seq,132;GTEx Coexpression,137"	"TCF7L2,EGR1,KLF5,RIF1,IL10RA,LPAR1,PCGF1,P4HB,UPP1,HIST1H3B,EGFR"
"gene_set_query"	"33"	"DUX4"	"158.0"	"ARCHS4 Coexpression,145;ReMap ChIP-seq,171"	"FUBP1,PCGF1,NR2E3,EGFR"
"gene_set_query"	"34"	"ERG"	"166.4"	"Literature ChIP-seq,62;ARCHS4 Coexpression,311;Enrichr Queries,156;ReMap ChIP-seq,130;GTEx Coexpression,173"	"EGR1,TCF7L2,MBNL1,ABCC1,SFPQ,RPN2,RIF1,LPAR1,PCGF1,P4HB,EGFR"
"gene_set_query"	"35"	"NR2E3"	"169.5"	"ARCHS4 Coexpression,282;Enrichr Queries,57"	"TCF7L2,EGR1,KLF5,LPAR1,PCGF1,EGFR"
"gene_set_query"	"36"	"ADNP"	"170.5"	"ARCHS4 Coexpression,364;Enrichr Queries,115;ReMap ChIP-seq,170;GTEx Coexpression,33"	"TCF7L2,EGR1,SFPQ,MBNL1,FUBP1,HNRNPD,HIST1H3B,ANKHD1"
"gene_set_query"	"37"	"ZNF658"	"171.0"	"ARCHS4 Coexpression,239;Enrichr Queries,103"	"TCF7L2,EGR1,CORT,KLF5,LPAR1,EGFR"
"gene_set_query"	"38"	"CREB3L2"	"172.0"	"ARCHS4 Coexpression,86;Enrichr Queries,275;GTEx Coexpression,155"	"TCF7L2,EGR1,ABCC1,FUBP1,LPAR1,P4HB,EGFR"
"gene_set_query"	"39"	"ZNF678"	"172.7"	"ARCHS4 Coexpression,11;Enrichr Queries,407;GTEx Coexpression,100"	"EGR1,MBNL1,RIF1,MAN1A2,FUBP1,LPAR1,P4HB,LIMD1"
"gene_set_query"	"40"	"ZBTB1"	"173.0"	"ARCHS4 Coexpression,106;Enrichr Queries,397;GTEx Coexpression,16"	"TCF7L2,EGR1,MBNL1,SFPQ,FUBP1,IL10RA,HNRNPD,LIMD1"
"gene_set_query"	"41"	"SALL1"	"173.5"	"Literature ChIP-seq,158;ARCHS4 Coexpression,184;Enrichr Queries,249;GTEx Coexpression,103"	"PPP2CB,TCF7L2,EGR1,TF,MBNL1,SFPQ,LPAR1,EGFR"
"gene_set_query"	"42"	"ZXDA"	"176.0"	"ARCHS4 Coexpression,132;Enrichr Queries,299;GTEx Coexpression,97"	"TCF7L2,EGR1,MBNL1,KLF5,RIF1,IL10RA,LPAR1"
"gene_set_query"	"43"	"HOXA9"	"176.5"	"ARCHS4 Coexpression,322;Enrichr Queries,188;ReMap ChIP-seq,57;GTEx Coexpression,139"	"TCF7L2,EGR1,MBNL1,SFPQ,KLF5,ANKHD1-EIF4EBP3,HIST1H3B,EGFR,ANKHD1"
"gene_set_query"	"44"	"ZNF662"	"178.0"	"ARCHS4 Coexpression,297;Enrichr Queries,152;GTEx Coexpression,85"	"TCF7L2,EGR1,SFPQ,LPAR1,P4HB,ANKHD1,EGFR"
"gene_set_query"	"45"	"TP63"	"178.8"	"Literature ChIP-seq,92;ARCHS4 Coexpression,204;Enrichr Queries,286;ReMap ChIP-seq,205;GTEx Coexpression,107"	"EGR1,TCF7L2,ABCC1,GALNT14,KLF5,LPAR1,RANBP10,P4HB,UPP1,LIMD1,EGFR"
"gene_set_query"	"46"	"MYCN"	"179.8"	"Literature ChIP-seq,77;ARCHS4 Coexpression,225;Enrichr Queries,50;ReMap ChIP-seq,213;GTEx Coexpression,334"	"TCF7L2,EGR1,ABCC1,RIF1,LPAR1,COQ9,EGFR,PPP2CB,SFPQ,KLF5,HNRNPD,PCGF1,P4HB"
"gene_set_query"	"47"	"ZFHX3"	"180.3"	"ARCHS4 Coexpression,198;Enrichr Queries,104;GTEx Coexpression,239"	"TCF7L2,EGR1,MBNL1,LPAR1,LIMD1,HIST1H3B,EGFR"
"gene_set_query"	"48"	"AEBP2"	"181.7"	"ARCHS4 Coexpression,258;Enrichr Queries,228;GTEx Coexpression,59"	"TCF7L2,EGR1,MBNL1,LPAR1,P4HB,EGFR"
"gene_set_query"	"49"	"CREB3L1"	"182.8"	"ARCHS4 Coexpression,58;Enrichr Queries,525;ReMap ChIP-seq,90;GTEx Coexpression,58"	"EGR1,RPN2,LPAR1,PCGF1,P4HB,HIST1H3B,EGFR"
"gene_set_query"	"50"	"ETS2"	"184.8"	"Literature ChIP-seq,93;ARCHS4 Coexpression,226;Enrichr Queries,288;GTEx Coexpression,132"	"TCF7L2,EGR1,ABCC1,KLF5,UPP1,EGFR"
"gene_set_query"	"51"	"SMAD4"	"185.0"	"Literature ChIP-seq,26;ARCHS4 Coexpression,36;Enrichr Queries,129;ReMap ChIP-seq,234;GTEx Coexpression,500"	"TCF7L2,EGR1,MBNL1,SFPQ,KLF5,RIF1,FUBP1,LPAR1,HNRNPD,UPP1,EGFR"
