Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"1"	"GABPA"	"6.143E-4"	"ARCHS4 Coexpression,6.143E-4"	"MBNL1,SFPQ,RIF1,FUBP1"
"gene_set_query"	"2"	"SON"	"6.223E-4"	"GTEx Coexpression,6.223E-4"	"SFPQ,RPN2,FUBP1,ANKHD1"
"gene_set_query"	"3"	"NRF1"	"7.123E-4"	"Enrichr Queries,7.123E-4"	"TCF7L2,EGR1,MBNL1,SFPQ,KLF5,FUBP1,HNRNPD"
"gene_set_query"	"4"	"DMTF1"	"0.001229"	"ARCHS4 Coexpression,0.001229"	"SFPQ,RIF1,FUBP1,P4HB"
"gene_set_query"	"5"	"ZNF736"	"0.001245"	"GTEx Coexpression,0.001245"	"SFPQ,FUBP1,HNRNPD,ANKHD1"
"gene_set_query"	"6"	"NFYA"	"0.001425"	"Enrichr Queries,0.001425"	"TCF7L2,EGR1,MBNL1,SFPQ,FUBP1,HNRNPD,EGFR"
"gene_set_query"	"7"	"ZNF589"	"0.001843"	"ARCHS4 Coexpression,0.001843"	"SFPQ,RIF1,FUBP1,HNRNPD"
"gene_set_query"	"8"	"ZNF207"	"0.001867"	"GTEx Coexpression,0.001867"	"SFPQ,FUBP1,HNRNPD,ANKHD1"
"gene_set_query"	"9"	"ZNF644"	"0.002137"	"Enrichr Queries,0.002137"	"TCF7L2,EGR1,MBNL1,SFPQ,MAN1A2,FUBP1"
"gene_set_query"	"10"	"AHR"	"0.002457"	"ARCHS4 Coexpression,0.002457"	"ABCC1,MBNL1,KLF5,IL10RA"
"gene_set_query"	"11"	"ZNF655"	"0.002489"	"GTEx Coexpression,0.002489"	"SFPQ,FUBP1,HNRNPD,ANKHD1"
"gene_set_query"	"12"	"CRX"	"0.002849"	"Enrichr Queries,0.002849"	"TCF7L2,EGR1,KLF5,LPAR1,NR2E3,EGFR"
"gene_set_query"	"13"	"POU2F1"	"0.003071"	"ARCHS4 Coexpression,0.003071"	"SFPQ,RIF1,FUBP1,P4HB"
"gene_set_query"	"14"	"ZNF841"	"0.003111"	"GTEx Coexpression,0.003111"	"SFPQ,FUBP1,HNRNPD,ANKHD1"
"gene_set_query"	"15"	"ZBTB16"	"0.003367"	"ReMap ChIP-seq,0.003367"	"EGR1,FUBP1,ANKHD1-EIF4EBP3,PCGF1,COQ9,P4HB,ANKHD1"
"gene_set_query"	"16"	"ESRRB"	"0.003561"	"Enrichr Queries,0.003561"	"TCF7L2,EGR1,KLF5,LPAR1,UPP1,EGFR"
"gene_set_query"	"17"	"RFX7"	"0.003686"	"ARCHS4 Coexpression,0.003686"	"SFPQ,RIF1,FUBP1,HNRNPD"
"gene_set_query"	"18"	"ZNF587"	"0.003734"	"GTEx Coexpression,0.003734"	"FUBP1,HNRNPD,P4HB,ANKHD1"
"gene_set_query"	"19"	"TERF1"	"0.004274"	"Enrichr Queries,0.004274"	"TCF7L2,EGR1,MBNL1,SFPQ,HNRNPD,EGFR"
"gene_set_query"	"20"	"RLF"	"0.0043"	"ARCHS4 Coexpression,0.0043"	"SFPQ,RIF1,FUBP1"
"gene_set_query"	"21"	"CREBZF"	"0.004356"	"GTEx Coexpression,0.004356"	"SFPQ,FUBP1,HNRNPD,ANKHD1"
"gene_set_query"	"22"	"ZNF451"	"0.004914"	"ARCHS4 Coexpression,0.004914"	"RIF1,P4HB,HIST1H3B"
"gene_set_query"	"23"	"MYSM1"	"0.004978"	"GTEx Coexpression,0.004978"	"SFPQ,FUBP1,HNRNPD,ANKHD1"
"gene_set_query"	"24"	"TCF7L2"	"0.004986"	"Enrichr Queries,0.004986"	"TCF7L2,EGR1,MBNL1,KLF5,LPAR1,EGFR"
"gene_set_query"	"25"	"ARID2"	"0.005528"	"ARCHS4 Coexpression,0.005528"	"RIF1,FUBP1,P4HB"
"gene_set_query"	"26"	"ZBED5"	"0.0056"	"GTEx Coexpression,0.0056"	"SFPQ,FUBP1,HNRNPD,ANKHD1"
