_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-5.2,C0555198,M1,1,0,DisGeNET,35,Malignant Glioma,,-5.2,9.5,7.4,30337,724,31,7,23,7.5,1956|1958|4363|5034|6934|8358|84759,EGFR|EGR1|ABCC1|P4HB|TCF7L2|H3C2|PCGF1,-1.2,0
1,-5.1,C0236773,M1,1,0,DisGeNET,35,Depressed bipolar I disorder,,-5.1,79,15,30337,37,31,3,9.7,5.3,9577|54882|404734,BABAM2|ANKHD1|ANKHD1-EIF4EBP3,-1.2,0
1,-4.9,C0023440,M1,1,0,DisGeNET,35,Acute Erythroblastic Leukemia,,-4.9,16,8.5,30337,302,31,5,16,6.6,1956|1958|4363|5034|7018,EGFR|EGR1|ABCC1|P4HB|TF,-1.1,0
1,-4.8,C1319315,M1,1,0,DisGeNET,35,Adenocarcinoma of large intestine,,-4.8,11,7.4,30337,543,31,6,19,7.1,688|1902|1956|4363|6934|7378,KLF5|LPAR1|EGFR|ABCC1|TCF7L2|UPP1,-1.1,0
1,-4.4,C0243038,M1,1,0,DisGeNET,35,"Carcinoma, Lewis Lung",,-4.4,21,8.7,30337,188,31,4,13,6,1956|4363|6934|9577,EGFR|ABCC1|TCF7L2|BABAM2,-0.77,0
1,-4.3,C1402294,M1,1,0,DisGeNET,35,Primary Lesion,,-4.3,41,11,30337,71,31,3,9.7,5.3,1956|4363|6185,EGFR|ABCC1|RPN2,-0.71,0
1,-4.1,C0008311,M1,1,0,DisGeNET,35,Cholangitis,,-4.1,37,10,30337,80,31,3,9.7,5.3,688|1956|1958,KLF5|EGFR|EGR1,-0.68,0
1,-3.8,C0428474,M1,1,0,DisGeNET,35,Serum LDL cholesterol measurement,,-3.8,15,7.1,30337,269,31,4,13,6,5322|6934|7018|55183,PLA2G5|TCF7L2|TF|RIF1,-0.56,0
1,-3.7,C0205698,M1,1,0,DisGeNET,35,Undifferentiated carcinoma,,-3.7,14,6.9,30337,283,31,4,13,6,1902|1956|1958|7018,LPAR1|EGFR|EGR1|TF,-0.53,0
1,-3.7,C0860207,M1,1,0,DisGeNET,35,Drug-Induced Liver Disease,,-3.7,9.1,6.1,30337,537,31,5,16,6.6,688|4363|5034|7018|57017,KLF5|ABCC1|P4HB|TF|COQ9,-0.53,0
1,-3.6,C3839280,M1,1,0,DisGeNET,35,High grade serous carcinoma,,-3.6,25,8.3,30337,118,31,3,9.7,5.3,1902|1956|79623,LPAR1|EGFR|GALNT14,-0.47,0
1,-3.6,C0750974,M1,1,0,DisGeNET,35,"Brain Tumor, Primary",,-3.6,24,8.2,30337,122,31,3,9.7,5.3,1956|3587|8880,EGFR|IL10RA|FUBP1,-0.46,0
1,-3.5,C0036337,M1,1,0,DisGeNET,35,Schizoaffective Disorder,,-3.5,23,8,30337,126,31,3,9.7,5.3,6185|6934|7018,RPN2|TCF7L2|TF,-0.45,0
1,-3.5,C1969372,M1,1,0,DisGeNET,35,Tubulointerstitial fibrosis,,-3.5,12,6.4,30337,327,31,4,13,6,688|1956|1958|3184,KLF5|EGFR|EGR1|HNRNPD,-0.42,0
1,-3.4,C0153392,M1,1,0,DisGeNET,35,Malignant neoplasm of nasopharynx,,-3.4,22,7.7,30337,136,31,3,9.7,5.3,1956|1958|4363,EGFR|EGR1|ABCC1,-0.42,0
1,-3.4,C0008487,M1,1,0,DisGeNET,35,Chordoma,,-3.4,21,7.6,30337,140,31,3,9.7,5.3,1956|4363|8880,EGFR|ABCC1|FUBP1,-0.41,0
1,-3.4,C0238301,M1,1,0,DisGeNET,35,Cancer of Nasopharynx,,-3.4,20,7.4,30337,145,31,3,9.7,5.3,1956|1958|4363,EGFR|EGR1|ABCC1,-0.37,0
1,-3.3,C0279070,M1,1,0,DisGeNET,35,Adult Oligodendroglioma,,-3.3,19,7.2,30337,154,31,3,9.7,5.3,1956|8358|8880,EGFR|H3C2|FUBP1,-0.33,0
1,-3.3,C0280475,M1,1,0,DisGeNET,35,Childhood Oligodendroglioma,,-3.3,19,7.2,30337,154,31,3,9.7,5.3,1956|8358|8880,EGFR|H3C2|FUBP1,-0.33,0
